Zeitstempel,Ich bin...,ich esse...,(Falls du keinen Fisch isst) Ich esse keinen Fisch aus...,Wie oft isst du Fisch?,"Könntest du dir vorstellen, vollständig auf Fisch zu verzichten?",Wo kaufst du deinen Fisch?,Achtest du auf das Fanggebiet und die Fangmethode in dem/ mit der dein Fisch gefangen wurde?,"Würdest du dich eher für einen Fisch entscheiden, wenn dieser mit diesen o.ä. Zertifikaten beschriftet wurde?",Fühlst du dich ausreichend über die Folgen von kommerzieller Fischerei aufgeklärt?
20.03.2022 11:40:00,unter 25 Jahre alt,Nur Fleisch,Geschmacklichen Gründen,Niemals,Ja,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Nein,Ja
20.03.2022 12:08:31,unter 25 Jahre alt,Nur Fleisch,Anderen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:09:14,unter 25 Jahre alt,Weder Fisch noch Fleisch,Nachhaltigkeits- bzw. Ökologischen Gründen,Ein paar Mal im Jahr (z.B. an besonderen Anlässen),Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Ja
20.03.2022 12:14:45,unter 25 Jahre alt,Fisch und Fleisch,,Ein paar Mal im Jahr (z.B. an besonderen Anlässen),Nein,Ich kaufe keinen Fisch,Nein,Nein,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:17:21,unter 25 Jahre alt,Weder Fisch noch Fleisch,Nachhaltigkeits- bzw. Ökologischen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Nein,Ja
20.03.2022 12:17:39,unter 25 Jahre alt,Nur Fleisch,Geschmacklichen Gründen,Niemals,Ja,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:17:52,unter 25 Jahre alt,Nur Fisch,,Wöchentlich,Ja,Discounter,Ja,Ja,Ja
20.03.2022 12:19:24,unter 25 Jahre alt,Fisch und Fleisch,,Wöchentlich,Ja,Discounter,Nein,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:19:29,unter 25 Jahre alt,Fisch und Fleisch,,Ein paar Mal im Jahr (z.B. an besonderen Anlässen),Nein,Bioladen,Nein,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:19:34,unter 25 Jahre alt,Weder Fisch noch Fleisch,Nachhaltigkeits- bzw. Ökologischen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Ja
20.03.2022 12:19:38,unter 25 Jahre alt,Weder Fisch noch Fleisch,Anderen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:20:58,unter 25 Jahre alt,Fisch und Fleisch,,Monatlich,Ja,Discounter,Nein,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:21:55,unter 25 Jahre alt,Weder Fisch noch Fleisch,Nachhaltigkeits- bzw. Ökologischen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Ja
20.03.2022 12:22:01,unter 25 Jahre alt,Nur Fisch,,Mehrmals in der Woche,Nein,Bioladen,Nein,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:23:24,unter 25 Jahre alt,Nur Fisch,,Monatlich,Ja,Discounter,Ja,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:23:34,unter 25 Jahre alt,Weder Fisch noch Fleisch,Nachhaltigkeits- bzw. Ökologischen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Nein,Ja
20.03.2022 12:23:44,unter 25 Jahre alt,Fisch und Fleisch,,Ein paar Mal im Jahr (z.B. an besonderen Anlässen),Nein,Discounter,Ja,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:24:07,unter 25 Jahre alt,Nur Fisch,,Monatlich,Ja,Bioladen,Nein,Ja,Ja
20.03.2022 12:24:44,über 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Nein,Discounter,Ja,Ja,Ja
20.03.2022 12:25:05,unter 25 Jahre alt,Fisch und Fleisch,,Monatlich,Ja,Wochenmarkt,Nein,Ja,Ja
20.03.2022 12:29:37,unter 25 Jahre alt,Weder Fisch noch Fleisch,Nachhaltigkeits- bzw. Ökologischen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Nein,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:30:12,über 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Nein,Discounter,Nein,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:31:27,unter 25 Jahre alt,Fisch und Fleisch,,Monatlich,Ja,Wochenmarkt,Ja,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:31:48,über 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Nein,Wochenmarkt,Nein,Ja,Ja
20.03.2022 12:32:17,unter 25 Jahre alt,Fisch und Fleisch,,Monatlich,Ja,Bioladen,Ja,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:35:17,unter 25 Jahre alt,Weder Fisch noch Fleisch,Nachhaltigkeits- bzw. Ökologischen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Nein,Ja
20.03.2022 12:36:34,unter 25 Jahre alt,Fisch und Fleisch,,Monatlich,Ja,Ich kaufe keinen Fisch,Ja,Nein,Ja
20.03.2022 12:39:01,unter 25 Jahre alt,Nur Fisch,,Monatlich,Ja,Discounter,Nein,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:40:35,unter 25 Jahre alt,Fisch und Fleisch,,Monatlich,Ja,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:41:31,unter 25 Jahre alt,Fisch und Fleisch,,Wöchentlich,Ja,Bioladen,Nein,Nein,Ja
20.03.2022 12:44:38,über 50 Jahre alt,Fisch und Fleisch,,Monatlich,Nein,Discounter,Ja,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:49:19,unter 25 Jahre alt,Fisch und Fleisch,Nachhaltigkeits- bzw. Ökologischen Gründen,Monatlich,Nein,Discounter,Nein,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:49:34,über 50 Jahre alt,Weder Fisch noch Fleisch,Geschmacklichen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Nein,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:50:37,zwischen 25 und 50 Jahre alt,Fisch und Fleisch,,Monatlich,Ja,Discounter,Nein,Nein,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:53:32,unter 25 Jahre alt,Weder Fisch noch Fleisch,Anderen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Nein,Ja
20.03.2022 12:54:23,unter 25 Jahre alt,Nur Fleisch,Anderen Gründen,Niemals,Ja,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:57:39,unter 25 Jahre alt,Weder Fisch noch Fleisch,Nachhaltigkeits- bzw. Ökologischen Gründen,Ein paar Mal im Jahr (z.B. an besonderen Anlässen),Ja,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Ja
